"Designator,""Footprint"",""Center-X(mil)"",""Center-Y(mil)"",""Ref-X(mil)"",""Ref-Y(mil)"",""Pad-X(mil)"",""Pad-Y(mil)"",""Layer"",""Rotation"",""Description"""
"C1,""C0402"",""807.087"",""83.661"",""807.087"",""83.661"",""807.087"",""65.945"",""BottomLayer"",""90"",""CAP CER 0.1UF 50V X7R 0402"""
"C2,""C0402"",""913.386"",""456.693"",""913.386"",""456.693"",""913.386"",""474.409"",""BottomLayer"",""270"",""CAP CER 0.1UF 50V X7R 0402"""
"C3,""C_tantalin_Type_A"",""228.346"",""314.961"",""228.346"",""314.961"",""228.346"",""366.142"",""BottomLayer"",""270"",""CAP TANT 10UF 10% 10V 1206"""
"C4,""C0402"",""761.811"",""369.094"",""761.811"",""369.094"",""761.811"",""386.811"",""TopLayer"",""270"",""CAP CER 15PF 50V C0G/NP0 0402"""
"C5,""C0402"",""1039.370"",""397.638"",""1039.370"",""397.638"",""1039.370"",""415.354"",""TopLayer"",""270"",""CAP CER 1UF 25V X5R 0402"""
"C6,""C0402"",""862.205"",""369.094"",""862.205"",""369.094"",""862.205"",""386.811"",""TopLayer"",""270"",""CAP CER 15PF 50V C0G/NP0 0402"""
"C7,""C_tantalin_Type_A"",""633.858"",""224.409"",""633.858"",""224.409"",""633.858"",""275.591"",""BottomLayer"",""270"",""CAP TANT 10UF 10% 10V 1206"""
"C8,""C0402"",""879.921"",""432.815"",""879.921"",""432.815"",""862.205"",""432.815"",""TopLayer"",""0"",""CAP CER 1UF 25V X5R 0402"""
"C9,""C0402"",""910.433"",""44.291"",""910.433"",""44.291"",""910.433"",""62.008"",""BottomLayer"",""270"",""CAP CER 10000PF 25V X7R 0402"""
"C10,""C0402"",""875.984"",""44.291"",""875.984"",""44.291"",""875.984"",""62.008"",""BottomLayer"",""270"",""CAP CER 0.1UF 50V X7R 0402"""
"C11,""C0402"",""841.535"",""44.291"",""841.535"",""44.291"",""841.535"",""62.008"",""BottomLayer"",""270"",""CAP CER 1UF 25V X5R 0402"""
"DA1,""SOT223"",""429.134"",""275.591"",""429.134"",""275.591"",""311.024"",""185.039"",""BottomLayer"",""0"",""IC REG LINEAR 3.3V 1A SOT223-3"""
"DD1,""SC-70-6"",""960.630"",""399.606"",""960.630"",""399.606"",""935.039"",""356.299"",""TopLayer"",""90"",""IC TRANSLTR BIDIRECTIONAL SC70-6"""
"DD2,""ESP32-C3-MINI-1"",""1165.354"",""275.591"",""1165.354"",""275.591"",""1322.835"",""43.307"",""BottomLayer"",""90"",""RF TXRX MODULE BT PCB TRACE SMD"""
"HL1,""LED0603"",""783.465"",""299.213"",""783.465"",""299.213"",""812.992"",""299.213"",""BottomLayer"",""180"",""LED 0603 Blue"""
"K1,""B3U-1000P-B"",""649.606"",""445.866"",""649.606"",""512.795"",""649.606"",""512.795"",""BottomLayer"",""270"",""SWITCH TACTILE SPST-NO 0.05A 12V"""
"K2,""B3U-1000P-B"",""767.716"",""444.882"",""767.716"",""511.811"",""767.716"",""511.811"",""BottomLayer"",""270"",""SWITCH TACTILE SPST-NO 0.05A 12V"""
"R1,""R0402"",""772.638"",""83.661"",""772.638"",""83.661"",""772.638"",""65.945"",""BottomLayer"",""90"",""RES 10K OHM 1/16W 1% 0402 SMD"""
"R2,""R0402"",""842.520"",""360.236"",""842.520"",""360.236"",""842.520"",""342.520"",""BottomLayer"",""90"",""RES 10K OHM 1/16W 1% 0402 SMD"""
"R3,""R0402"",""870.079"",""208.661"",""870.079"",""208.661"",""870.079"",""226.378"",""BottomLayer"",""270"",""RES 5.1K OHM 1/16W 1% 0402 SMD"""
"R4,""R0402"",""740.158"",""208.661"",""740.158"",""208.661"",""740.158"",""226.378"",""BottomLayer"",""270"",""RES 5.1K OHM 1/16W 1% 0402 SMD"""
"R5,""R0402"",""794.291"",""369.094"",""794.291"",""369.094"",""794.291"",""351.378"",""TopLayer"",""90"",""RES 22 OHM 1/16W 1% 0402 SMD"""
"R6,""R0402"",""829.724"",""369.094"",""829.724"",""369.094"",""829.724"",""351.378"",""TopLayer"",""90"",""RES 22 OHM 1/16W 1% 0402 SMD"""
"R7,""R0402"",""787.402"",""137.795"",""787.402"",""137.795"",""805.118"",""137.795"",""BottomLayer"",""180"",""RES 10K OHM 1/16W 1% 0402 SMD"""
"R8,""R0402"",""895.669"",""401.575"",""895.669"",""401.575"",""913.386"",""401.575"",""BottomLayer"",""180"",""RES 10K OHM 1/16W 1% 0402 SMD"""
"R9,""R0402"",""897.638"",""307.087"",""897.638"",""307.087"",""879.921"",""307.087"",""BottomLayer"",""0"",""RES 1K OHM 1/16W 1% 0402 SMD"""
"VD1,""SOD-123F"",""704.724"",""444.882"",""704.724"",""444.882"",""704.724"",""507.874"",""TopLayer"",""270"",""DIODE SCHOTTKY 40V 1A"""
"XS1,""FLTS22WR00"",""270.669"",""275.591"",""78.740"",""354.331"",""462.599"",""354.331"",""TopLayer"",""0"",""SMD TERMINAL BLOCK 2 PIN"""
"XS2,""USB4110-GF-A"",""812.008"",""217.126"",""812.008"",""261.024"",""615.158"",""125.984"",""TopLayer"",""270"",""CONN RCP USB2.0 TYP C 24P SMD RA"""
"XS3,""FLTS32WR00"",""1382.874"",""275.591"",""1574.803"",""118.110"",""1190.945"",""118.110"",""TopLayer"",""180"",""SMD TERMINAL BLOCK 3 PIN"""
